effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,X_i:Y_i,-0.04448365545091748,0.15235504772863734,-0.2919736242027781,44972.00000219988,0.7703081373451088
ran_pars,subj_id,sd__(Intercept),2.188453674996692,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.81788963846157,NA,NA,NA,NA
fixed,NA,(Intercept),31.47567864679762,0.415449021665385,75.76303470549286,24.26875029480424,2.3886888323987656e-30
fixed,NA,X_i,-0.1889846658416208,0.04643116129048148,-4.070211913488436,44972.0000058335,4.705058099224568e-5
fixed,NA,Y_i,-0.6091725303329368,0.11988474294873686,-5.0813182340760505,44971.99999935051,3.763220963607287e-7
fixed,NA,X_i:Y_i,-0.1781197814650191,0.1468282240845644,-1.2131167735328094,44971.999999177766,0.22509154962811675
ran_pars,subj_id,sd__(Intercept),2.068578342992887,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.643116129048147,NA,NA,NA,NA
fixed,NA,(Intercept),31.792044329029654,0.5118707649316252,62.109513781816354,24.19197133397062,3.39521683920647e-28
fixed,NA,X_i,0.16927776012102475,0.048420850177574914,3.495968358676654,44972.00000578824,4.727996945216506e-4
fixed,NA,Y_i,0.4456833260596894,0.12502209756463475,3.564836414852799,44972.000000767504,3.6446040103662594e-4
fixed,NA,X_i:Y_i,-0.21205917853143177,0.15312017280290527,-1.3849199269412542,44972.00000086812,0.16608382310979833
ran_pars,subj_id,sd__(Intercept),2.5517083860391816,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.8420850177574914,NA,NA,NA,NA
fixed,NA,(Intercept),31.70940768768893,0.5166956567242107,61.3696037019603,24.178318525996684,4.657755928361072e-28
fixed,NA,X_i,0.368346107514272,0.04710790848823292,7.819198927209453,44971.99999867683,5.431237574052168e-15
fixed,NA,Y_i,0.4790233352976512,0.12163209669972631,3.9382971131396194,44971.999996757695,8.21856025102404e-5
fixed,NA,X_i:Y_i,-0.018997025619591115,0.1489682866295956,-0.12752395861829674,44971.99999655396,0.8985262819168645
ran_pars,subj_id,sd__(Intercept),2.576310176265238,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.7107908488233,NA,NA,NA,NA
fixed,NA,(Intercept),31.684950439979975,0.47727197991198256,66.38761916386385,24.2137020630838,6.52929440467649e-29
